--------------------------------------------------------------------------------
		Marvellous Infosystems Process Log
		Log file is created at : Thu Jun 19 12:03:43 2025
--------------------------------------------------------------------------------{'pid': 0, 'name': 'System Idle Process', 'username': 'NT AUTHORITY\\SYSTEM', 'vms': 0.05859375} 

{'pid': 4, 'name': 'System', 'username': 'NT AUTHORITY\\SYSTEM', 'vms': 0.0390625} 

{'pid': 236, 'name': '', 'username': None, 'vms': 0.16796875} 

{'pid': 280, 'name': 'Registry', 'username': None, 'vms': 14.16796875} 

{'pid': 716, 'name': 'svchost.exe', 'username': None, 'vms': 4.08203125} 

{'pid': 744, 'name': 'smss.exe', 'username': None, 'vms': 1.14453125} 

{'pid': 1060, 'name': 'csrss.exe', 'username': None, 'vms': 2.62109375} 

{'pid': 1064, 'name': 'svchost.exe', 'username': None, 'vms': 3.56640625} 

{'pid': 1152, 'name': 'wininit.exe', 'username': None, 'vms': 1.72265625} 

{'pid': 1228, 'name': 'conhost.exe', 'username': None, 'vms': 1.6484375} 

{'pid': 1232, 'name': 'Widgets.exe', 'username': 'DESKTOP-I3IPA56\\Riya', 'vms': 12.32421875} 

{'pid': 1292, 'name': 'PowerToys.PowerOCR.exe', 'username': 'DESKTOP-I3IPA56\\Riya', 'vms': 224.7421875} 

{'pid': 1296, 'name': 'services.exe', 'username': None, 'vms': 7.1640625} 

{'pid': 1312, 'name': 'LsaIso.exe', 'username': None, 'vms': 1.79296875} 

{'pid': 1328, 'name': 'lsass.exe', 'username': None, 'vms': 14.66796875} 

{'pid': 1468, 'name': 'svchost.exe', 'username': None, 'vms': 18.8984375} 

{'pid': 1488, 'name': 'fontdrvhost.exe', 'username': None, 'vms': 1.93359375} 

{'pid': 1508, 'name': 'Code.exe', 'username': 'DESKTOP-I3IPA56\\Riya', 'vms': 218.38671875} 

{'pid': 1572, 'name': 'WUDFHost.exe', 'username': None, 'vms': 18.59765625} 

{'pid': 1640, 'name': 'svchost.exe', 'username': None, 'vms': 11.65625} 

